Motors scraped off: http://www.motocalc.com/data/motor.html,,,
Motors scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,kV(kV),No_Load_Current(A),Resistance(Ohm),Weight(g)
FSD FBP2845/5Y,1780.0,0.7,0.0519,126
FSD FBP2845/6D,2750.0,1.1,0.0288,126
FSD FBP2850/2.5D,5280.0,3.8,0.0076,146
FSD FBP2850/2.5Y,2870.0,1.5,0.0191,146
FSD FBP2850/2D,6560.0,5.7,0.0044,146
FSD FBP2850/2Y,3580.0,2.4,0.0106,146
FSD FBP2850/3.5D,3790.0,2.5,0.0135,146
FSD FBP2850/3.5Y,2060.0,1.0,0.0337,146
FSD FBP2850/3D,4430.0,3.2,0.0089,146
FSD FBP2850/3Y,2415.0,1.2,0.0224,146
FSD FBP2850/4.5D,2950.0,1.7,0.0199,146
FSD FBP2850/4.5Y,1600.0,0.8,0.0525,146
FSD FBP2850/4D,3330.0,2.1,0.015,146
FSD FBP2850/4Y,1800.0,0.8,0.0384,146
FSD FBP2850/5.5D,2430.0,1.2,0.0295,146
FSD FBP2850/5D,2670.0,1.4,0.0223,146
FSD FBP2850/5Y,1450.0,0.7,0.058,146
FSD FBP2850/6D,2230.0,1.1,0.0319,146
FSD FBP2860/2.5D,4050.0,3.1,0.0083,177
FSD FBP2860/2.5Y,2190.0,1.3,0.021,177
FSD FBP2860/2D,5050.0,4.2,0.0055,177
FSD FBP2860/2Y,2730.0,1.9,0.0113,177
FSD FBP2860/3.5D,2910.0,1.9,0.0151,177
FSD FBP2860/3.5Y,1580.0,0.9,0.0371,177
FSD FBP2860/3D,3400.0,2.5,0.0098,177
FSD FBP2860/3Y,1840.0,1.1,0.0249,177
FSD FBP2860/4.5D,2260.0,1.5,0.0252,177
FSD FBP2860/4.5Y,1230.0,0.7,0.0588,177
FSD FBP2860/4D,2550.0,1.7,0.0173,177
FSD FBP2860/4Y,1380.0,0.8,0.0416,177
FSD FBP2860/5D,2040.0,1.3,0.0276,177
FSD FBP2860/5Y,1100.0,0.6,0.0658,177
FSD FBP2860/6D,1690.0,1.1,0.049,177
FSD FBP3650/2.5D,5400.0,5.9,0.0043,186
FSD FBP3650/2.5Y,2930.0,1.9,0.0101,186
FSD FBP3650/2Y,3650.0,2.7,0.0053,186
FSD FBP3650/3.5D,3900.0,2.7,0.0075,186
FSD FBP3650/3.5Y,2090.0,1.2,0.0182,186
FSD FBP3650/3D,4550.0,3.7,0.0051,186
FSD FBP3650/3Y,2450.0,1.4,0.0118,186
FSD FBP3650/4.5D,3060.0,1.7,0.0112,186
FSD FBP3650/4.5Y,1650.0,0.8,0.0286,186
FSD FBP3650/4D,3430.0,2.0,0.0081,186
FSD FBP3650/4Y,1840.0,1.0,0.0212,186
FSD FBP3650/5.5D,2500.0,1.2,0.0162,186
FSD FBP3650/5.5Y,1350.0,0.6,0.0412,186
FSD FBP3650/5D,2750.0,1.4,0.0126,186
FSD FBP3650/5Y,1480.0,0.7,0.0318,186
FSD FBP3650/6D,2290.0,1.1,0.0178,186
FSD FBP3650/6Y,1230.0,0.6,0.0436,186
FSD FBP3660/2.5D,3800.0,3.9,0.005,241
FSD FBP3660/2.5Y,2050.0,1.7,0.0126,241
FSD FBP3660/2D,4650.0,6.0,0.0028,241
FSD FBP3660/2Y,2550.0,2.3,0.0069,241
FSD FBP3660/3.5D,2700.0,2.5,0.0083,241
FSD FBP3660/3.5Y,1480.0,1.1,0.0231,241
FSD FBP3660/3D,3180.0,2.7,0.0058,241
FSD FBP3660/3Y,1720.0,1.3,0.015,241
FSD FBP3660/4.5D,2120.0,1.3,0.0131,241
FSD FBP3660/4.5Y,1150.0,0.8,0.0342,241
FSD FBP3660/4D,2380.0,2.3,0.0095,241
FSD FBP3660/4Y,1280.0,0.9,0.0258,241
FSD FBP3660/5D,1900.0,1.2,0.0146,241
FSD FBP3660/5Y,1050.0,0.7,0.0378,241
FSD FBP3665/2.5D,3190.0,3.3,0.0055,283
FSD FBP3665/2.5Y,1700.0,1.8,0.0136,283
FSD FBP3665/2D,3930.0,6.0,0.003,283
FSD FBP3665/2Y,2100.0,2.5,0.0075,283
FSD FBP3665/3.5D,2300.0,2.3,0.0092,283
FSD FBP3665/3.5Y,1200.0,1.2,0.0252,283
FSD FBP3665/3D,2680.0,2.7,0.0063,283
FSD FBP3665/3Y,1420.0,1.4,0.0165,283
FSD FBP3665/4.5D,1780.0,1.6,0.0145,283
FSD FBP3665/4.5Y,950.0,0.8,0.0385,283
FSD FBP3665/4D,2020.0,2.0,0.0105,283
FSD FBP3665/4Y,1050.0,1.0,0.0282,283
FSD FBP3665/5D,1600.0,1.5,0.0159,283
FSD FBP3665/5Y,850.0,0.7,0.0432,283
FSD FBP4074/2.5Y,2000.0,1.7,0.0062,374
FSD FBP4074/2Y,2150.0,1.8,0.0062,374
FSD FBP4074/3D,2650.0,3.5,0.005,374
FSD FBP4074/3Y,1400.0,1.2,0.013,374
FSD FBP4074/4Y,1050.0,0.6,0.0223,374
FSD FBP4082/1.5Y,2200.0,3.9,0.006,486
FSD FBP4082/2.5Y,1250.0,1.6,0.0128,486
FSD FBP4082/2Y,1500.0,2.2,0.0075,486
FSD FBP4082/3Y,1000.0,1.1,0.0175,486
FSD FBP4082/4D,1450.0,3.5,0.0094,486
FSD FBP4092/2.5D,2080.0,5.8,0.0055,492
FSD FBP4092/2Y,1390.0,2.5,0.0079,492
FSD FBP4092/3.5D,1480.0,3.8,0.0097,492
FSD FBP4092/3D,1730.0,4.5,0.0065,492
FSD FBP4092/3Y,930.0,1.5,0.0165,492
FSD FBP4092/4D,1300.0,3.4,0.0111,492
FSD FBP4092/4Y,700.0,1.0,0.0274,492
FSD FBP4092/5D,1050.0,3.5,0.0164,492
FSD FBP56110-3Y,520.0,2.1,0.0152,1161
FSD FBP56110/2D,1430.0,7.4,0.0027,1161
FSD FBP56110/2Y,780.0,3.7,0.0072,1161
FSD FBP56110/3D,950.0,4.3,0.0055,1161
FSD FBP56110/4.5D,640.0,3.0,0.0149,1161
FSD FBP56110/4D,720.0,3.1,0.0092,1161
FSD FBP56110/4Y,380.0,1.8,0.0265,1161
FSD FBP5682/2Y,1360.0,4.1,0.0058,759
FSD FBP5682/3D,1670.0,5.5,0.004,759
FSD FBP5682/3Y,910.0,2.1,0.0177,759
FSD FBP5682/5D,1000.0,2.9,0.0105,759
FSD FBP5692/2Y,1090.0,3.1,0.006,880
FSD FBP5692/3D,1340.0,4.1,0.0046,880
FSD FBP5692/3Y,730.0,1.7,0.013,880
FSD FBP5692/4D,1000.0,3.0,0.0073,880
FSD FBP5692/4Y,540.0,1.2,0.0221,880
FSD FBP5698-3Y,600.0,1.8,0.014,1021
FSD FBP5698/2Y,910.0,3.4,0.0069,1021
FSD FBP5698/3D,1100.0,4.0,0.0053,1021
FSD FBP5698/4D,835.0,2.9,0.0095,1021
FSD FBP5698/4Y,460.0,1.2,0.0255,1021
FSD FBWR3650/10.5T,3650.0,2.2,0.0208,171
FSD FBWR3650/11.5T,3210.0,2.5,0.0265,171
FSD FBWR3650/12.5T,3050.0,2.6,0.0298,171
FSD FBWR3650/13.5T,2850.0,1.8,0.0334,171
FSD FBWR3650/14.5T,2550.0,2.1,0.0408,171
FSD FBWR3650/3.5T,10500.0,9.5,0.0034,171
FSD FBWR3650/4.5T,7900.0,7.2,0.0045,171
FSD FBWR3650/5.5T,6650.0,5.7,0.0072,171
FSD FBWR3650/6.5T,5600.0,4.8,0.0087,171
FSD FBWR3650/7.5T,4850.0,4.0,0.0134,171
FSD FBWR3650/8.5T,4450.0,3.5,0.015,171
FSD FBWR3650/9.5T,3900.0,3.0,0.0181,171
FSD FC2822-27T,1360.0,1.1,0.35,29
FSD FC2826-12T,1380.0,0.6,0.1182,46
FSD FC2826-14T,1250.0,0.6,0.1365,46
FSD FC2826-15T,1150.0,0.5,0.1905,46
FSD FC2826-17T,1050.0,0.4,0.2152,46
FSD FC2826-9T,1820.0,1.0,0.0645,46
FSD FC2830-12T,980.0,0.5,0.1575,57
FSD FC2830-14T,830.0,0.4,0.1772,57
FSD FC2830-16T,730.0,0.3,0.2775,57
FSD FC2830-9T,1290.0,0.7,0.083,57
FSD FC2835-10T,830.0,0.5,0.1332,69
FSD FC2835-12T,690.0,0.4,0.1758,69
FSD FC2835-4T,1880.0,1.5,0.0315,69
FSD FC2835-5T,1600.0,1.4,0.0408,69
FSD FC2835-6T,1350.0,1.2,0.0468,69
FSD FC2835-7T,1160.0,0.8,0.0611,69
FSD FC2835-8T,1038.0,0.7,0.0818,69
FSD FC2835-9T,900.0,0.6,0.1023,69
FSD FC3530-10T,1350.0,0.8,0.0553,73
FSD FC3530-12T,1100.0,0.7,0.0742,73
FSD FC3530-8T,1650.0,1.2,0.0368,73
FSD FC3536-10T,780.0,0.6,0.0798,95
FSD FC3536-12T,660.0,0.5,0.1028,95
FSD FC3536-14T,560.0,0.4,0.1374,95
FSD FC3536-5T,1520.0,1.5,0.0207,95
FSD FC3536-6T,1270.0,1.2,0.0292,95
FSD FC3536-7T,1100.0,0.9,0.0375,95
FSD FC3536-8T,960.0,0.7,0.0475,95
FSD FC3542-10T,560.0,0.5,0.1035,135
FSD FC3542-12T,450.0,0.4,0.1325,135
FSD FC3542-13T,420.0,0.4,0.1671,135
FSD FC3542-14T,380.0,0.4,0.1815,135
FSD FC3542-5T,1080.0,1.4,0.026,135
FSD FC3542-6T,920.0,1.1,0.0365,135
FSD FC3542-7T,780.0,0.9,0.0472,135
FSD FC3542-8T,690.0,0.7,0.0609,135
FSD FC3542-9T,600.0,0.6,0.0785,135
FSD FC3548-10T,420.0,0.6,0.1255,162
FSD FC3548-4T,1100.0,2.0,0.0219,162
FSD FC3548-5T,890.0,1.2,0.0309,162
FSD FC3548-6T,710.0,1.0,0.0441,162
FSD FC3548-7T,600.0,0.7,0.0568,162
FSD FC3548-8T,520.0,0.6,0.0743,162
FSD FC4250-7T,710.0,1.9,0.026,196
FSD FC4260-10T,310.0,0.8,0.0692,268
FSD FC4260-4.5T,680.0,2.3,0.0168,268
FSD FC4260-4T,780.0,2.8,0.0122,268
FSD FC4260-5T,630.0,2.0,0.0185,268
FSD FC4260-6T,520.0,1.5,0.0292,268
FSD FC4260-7T,460.0,1.2,0.0361,268
FSD FC4260-8T,390.0,1.0,0.0444,268
FSD FC4260-9T,350.0,0.9,0.057,268
FSD FC5055-10T,420.0,1.0,0.0418,270
FSD FC5055-11T,370.0,1.0,0.0503,270
FSD FC5055-12T,330.0,0.7,0.0588,270
FSD FC5055-16T,260.0,0.5,0.1022,270
FSD FC5055-6T,720.0,2.3,0.016,270
FSD FC5055-7T,620.0,1.9,0.0218,270
FSD FC5055-8T,530.0,1.8,0.0272,270
FSD FC5055-9T,460.0,1.3,0.0339,270
FSD FC5065-4T,660.0,3.8,0.0105,365
FSD FC5065-5T,550.0,2.2,0.0153,365
FSD FC5065-6T,430.0,1.7,0.0209,365
FSD FC5065-7T,390.0,1.3,0.0285,365
FSD FC5065-8T,350.0,1.2,0.0361,365
FSD FC6362-10T,245.0,0.9,0.0361,564
FSD FC6362-20T,115.0,0.4,0.1399,564
FSD FC6362-4T,560.0,3.5,0.0065,564
FSD FC6362-6T,380.0,2.7,0.0129,564
FSD FC6362-7T,340.0,1.4,0.0179,564
FSD FC6362-8T,300.0,1.2,0.0229,564
FSD FC8072-10T,175.0,1.6,0.023,1093
FSD FC8072-11T,160.0,1.5,0.028,1093
FSD FC8072-6T,250.0,2.8,0.0095,1093
FSD FC8072-8T,220.0,2.4,0.0156,1093
Faulhaber DC1717,4300.0,0.08,1.6,0
Feigao 130L 12T (1308412L),4834.0,1.5,0.0387,61
Feigao 130L 13T (1308413L),4462.0,1.4,0.0454,61
Feigao 130L 14T (1308414L),4143.0,1.2,0.0526,61
Feigao 130L 15T (1308415L),3867.0,0.9,0.0604,61
Feigao 130L 16T (1308416L),3625.0,0.7,0.0687,61
Feigao 130L 17T (1308417L),3412.0,0.7,0.0776,61
Feigao 130L 18T (1308418L),3223.0,0.6,0.087,61
Feigao 130L 19T (1308419L),3053.0,0.6,0.0969,61
Feigao 130L 20T (1308420L),2900.0,0.6,0.1074,61
Feigao 130L 21T (1308421L),2762.0,0.5,0.1184,61
Feigao 130L 22T (1308422L),2637.0,0.4,0.13,61
Feigao 130L 23T (1308423L),2522.0,0.4,0.142,61
Feigao 130L 24T (1308424L),2417.0,0.4,0.1547,61
Feigao 130L 25T (1308425L),2320.0,0.4,0.1678,61
Feigao 130L 26T (1308426L),2231.0,0.3,0.1815,61
Feigao 130L 27T (1308427L),2148.0,0.3,0.1958,61
Feigao 130L 28T (1308428L),2072.0,0.3,0.2105,61
Feigao 130L 29T (1308429L),2000.0,0.2,0.2258,61
Feigao 130L 30T (1308430L),1934.0,0.2,0.2417,61
Feigao 130L 31T (1308431L),1871.0,0.2,0.258,61
Feigao 130L 32T (1308432L),1813.0,0.2,0.275,61
Feigao 130L 33T (1308433L),1758.0,0.2,0.2924,61
Feigao 130L 34T (1308434L),1706.0,0.2,0.3104,61
Feigao 130L 35T (1308435L),1657.0,0.2,0.3289,61
Feigao 130L 36T (1308436L),1611.0,0.1,0.348,61
Feigao 130L 37T (1308437L),1568.0,0.1,0.3676,61
Feigao 130L 38T (1308438L),1526.0,0.1,0.3877,61
Feigao 130L 39T (1308439L),1487.0,0.1,0.4084,61
Feigao 130L 40T (1308440L),1450.0,0.1,0.4296,61
Feigao 130L 41T (1308441L),1415.0,0.1,0.4514,61
Feigao 130S 12T (1308412S),7800.0,2.2,0.0315,50
Feigao 130S 13T (1308413S),7200.0,1.8,0.037,50
Feigao 130S 14T (1308414S),6686.0,1.6,0.0429,50
Feigao 130S 15T (1308415S),6240.0,1.4,0.0493,50
Feigao 130S 16T (1308416S),5850.0,1.3,0.0561,50
Feigao 130S 17T (1308417S),5506.0,1.3,0.0633,50
Feigao 130S 18T (1308418S),5200.0,1.2,0.071,50
Feigao 130S 19T (1308419S),4926.0,1.2,0.0791,50
Feigao 130S 20T (1308420S),4680.0,1.1,0.0876,50
Feigao 130S 21T (1308421S),4457.0,1.0,0.0966,50
Feigao 130S 22T (1308422S),4255.0,0.8,0.106,50
Feigao 130S 23T (1308423S),4070.0,0.6,0.1159,50
Feigao 130S 24T (1308424S),3900.0,0.6,0.1261,50
Feigao 130S 25T (1308425S),3744.0,0.6,0.1369,50
Feigao 130S 26T (1308426S),3600.0,0.6,0.148,50
Feigao 130S 27T (1308427S),3467.0,0.4,0.1597,50
Feigao 130S 28T (1308428S),3343.0,0.4,0.1717,50
Feigao 130S 29T (1308429S),3228.0,0.4,0.1842,50
Feigao 130S 30T (1308430S),3120.0,0.4,0.1971,50
Feigao 130S 31T (1308431S),3019.0,0.4,0.2105,50
Feigao 130S 32T (1308432S),2925.0,0.4,0.2243,50
Feigao 130S 33T (1308433S),2836.0,0.4,0.2385,50
Feigao 130S 34T (1308434S),2753.0,0.3,0.2532,50
Feigao 130S 35T (1308435S),2674.0,0.3,0.2683,50
Feigao 130S 36T (1308436S),2600.0,0.3,0.2838,50
Feigao 130S 37T (1308437S),2530.0,0.2,0.2998,50
Feigao 130S 38T (1308438S),2463.0,0.2,0.3162,50
Feigao 130S 39T (1308439S),2400.0,0.2,0.3331,50
Feigao 130S 40T (1308440S),2340.0,0.1,0.3504,50
Feigao 130S 41T (1308441S),2283.0,0.1,0.3682,50
Feigao 380L 10T (3808410L),2890.0,1.4,0.0178,177
Feigao 380L 11T (3808411L),2627.0,1.3,0.0215,177
Feigao 380L 12T (3808412L),2408.0,1.1,0.0256,177
Feigao 380L 13T (3808413L),2223.0,1.1,0.03,177
Feigao 380L 14T (3808414L),2064.0,0.7,0.0348,177
Feigao 380L 15T (3808415L),1927.0,0.7,0.0399,177
Feigao 380L 16T (3808416L),1806.0,0.7,0.0455,177
Feigao 380L 17T (3808417L),1700.0,0.6,0.0513,177
Feigao 380L 18T (3808418L),1606.0,0.5,0.0575,177
Feigao 380L 19T (3808419L),1521.0,0.5,0.0641,177
Feigao 380L 20T (3808420L),1445.0,0.4,0.071,177
Feigao 380L 21T (3808421L),1376.0,0.4,0.0783,177
Feigao 380L 22T (3808422L),1314.0,0.4,0.0859,177
Feigao 380L 23T (3808423L),1257.0,0.3,0.0939,177
Feigao 380L 24T (3808424L),1204.0,0.3,0.1023,177
Feigao 380L 25T (3808425L),1156.0,0.3,0.111,177
Feigao 380L 26T (3808426L),1112.0,0.3,0.12,177
Feigao 380L 27T (3808427L),1070.0,0.3,0.1294,177
Feigao 380L 28T (3808428L),1032.0,0.3,0.1392,177
Feigao 380L 29T (3808429L),997.0,0.2,0.1493,177
Feigao 380L 30T (3808430L),963.0,0.2,0.1598,177
Feigao 380L 31T (3808431L),932.0,0.2,0.1706,177
Feigao 380L 32T (3808432L),903.0,0.2,0.1818,177
Feigao 380L 33T (3808433L),876.0,0.2,0.1934,177
Feigao 380L 34T (3808434L),850.0,0.2,0.2052,177
Feigao 380L 6T (3808406L),4817.0,3.3,0.0064,177
Feigao 380L 7T (3808407L),4129.0,2.6,0.0087,177
Feigao 380L 8T (3808408L),3613.0,2.2,0.0114,177
Feigao 380L 9T (3808409L),3211.0,1.7,0.0144,177
Feigao 380S 10T (3808410S),3947.0,2.1,0.0147,137
Feigao 380S 11T (3808411S),3589.0,1.8,0.0178,137
Feigao 380S 12T (3808412S),3290.0,1.5,0.0212,137
Feigao 380S 13T (3808413S),3036.0,1.2,0.0249,137
Feigao 380S 14T (3808414S),2820.0,1.1,0.0289,137
Feigao 380S 15T (3808415S),2632.0,0.9,0.0331,137
Feigao 380S 16T (3808416S),2467.0,0.9,0.0377,137
Feigao 380S 17T (3808417S),2322.0,0.8,0.0425,137
Feigao 380S 18T (3808418S),2193.0,0.7,0.0477,137
Feigao 380S 19T (3808419S),2078.0,0.6,0.0531,137
Feigao 380S 20T (3808420S),1974.0,0.6,0.0589,137
Feigao 380S 21T (3808421S),1880.0,0.5,0.0649,137
Feigao 380S 22T (3808422S),1794.0,0.5,0.0713,137
Feigao 380S 23T (3808423S),1716.0,0.4,0.0779,137
Feigao 380S 24T (3808424S),1645.0,0.4,0.0848,137
Feigao 380S 25T (3808425S),1579.0,0.3,0.092,137
Feigao 380S 26T (3808426S),1518.0,0.3,0.0995,137
Feigao 380S 27T (3808427S),1462.0,0.3,0.1073,137
Feigao 380S 28T (3808428S),1410.0,0.3,0.1154,137
Feigao 380S 29T (3808429S),1361.0,0.3,0.1238,137
Feigao 380S 30T (3808430S),1316.0,0.3,0.1325,137
Feigao 380S 31T (3808431S),1273.0,0.3,0.1415,137
Feigao 380S 32T (3808432S),1234.0,0.3,0.1508,137
Feigao 380S 33T (3808433S),1196.0,0.2,0.1603,137
Feigao 380S 34T (3808434S),1161.0,0.2,0.1702,137
Feigao 380S 6T (3808406S),6579.0,4.5,0.0053,137
Feigao 380S 7T (3808407S),5639.0,3.6,0.0072,137
Feigao 380S 8T (3808408S),4934.0,2.7,0.0094,137
Feigao 380S 9T (3808409S),4386.0,2.2,0.0119,137
Feigao 380XL 10T (3808410XL),2322.0,1.6,0.0194,217
Feigao 380XL 11T (3808411XL),2111.0,1.3,0.0235,217
Feigao 380XL 12T (3808412XL),1935.0,1.3,0.028,217
Feigao 380XL 13T (3808413XL),1786.0,1.1,0.0329,217
Feigao 380XL 14T (3808414XL),1659.0,0.9,0.0381,217
Feigao 380XL 15T (3808415XL),1548.0,0.8,0.0438,217
Feigao 380XL 16T (3808416XL),1451.0,0.7,0.0498,217
Feigao 380XL 17T (3808417XL),1366.0,0.6,0.0562,217
Feigao 380XL 18T (3808418XL),1290.0,0.6,0.063,217
Feigao 380XL 19T (3808419XL),1222.0,0.5,0.0702,217
Feigao 380XL 20T (3808420XL),1161.0,0.4,0.0778,217
Feigao 380XL 21T (3808421XL),1106.0,0.4,0.0858,217
Feigao 380XL 22T (3808422XL),1056.0,0.4,0.0941,217
Feigao 380XL 23T (3808423XL),1010.0,0.3,0.1029,217
Feigao 380XL 24T (3808424XL),968.0,0.3,0.112,217
Feigao 380XL 25T (3808425XL),929.0,0.3,0.1215,217
Feigao 380XL 26T (3808426XL),893.0,0.3,0.1314,217
Feigao 380XL 27T (3808427XL),860.0,0.3,0.1418,217
Feigao 380XL 28T (3808428XL),829.0,0.3,0.1524,217
Feigao 380XL 29T (3808429XL),801.0,0.3,0.1635,217
Feigao 380XL 30T (3808430XL),774.0,0.3,0.175,217
Feigao 380XL 31T (3808431XL),749.0,0.2,0.1869,217
Feigao 380XL 32T (3808432XL),726.0,0.2,0.1991,217
Feigao 380XL 33T (3808433XL),704.0,0.2,0.2118,217
Feigao 380XL 34T (3808434XL),683.0,0.2,0.2248,217
Feigao 380XL 6T (3808406XL),3870.0,4.9,0.007,217
Feigao 380XL 7T (3808407XL),3317.0,3.2,0.0095,217
Feigao 380XL 8T (3808408XL),2903.0,2.2,0.0124,217
Feigao 380XL 9T (3808409XL),2580.0,1.8,0.0158,217
Feigao 540L 10T (5408410L),2458.0,2.8,0.0119,283
Feigao 540L 11T (5408411L),2234.0,2.5,0.0145,283
Feigao 540L 12T (5408412L),2048.0,2.0,0.0172,283
Feigao 540L 13T (5408413L),1890.0,2.0,0.0202,283
Feigao 540L 14T (5408414L),1755.0,1.8,0.0234,283
Feigao 540L 15T (5408415L),1638.0,1.5,0.0269,283
Feigao 540L 16T (5408416L),1536.0,1.5,0.0306,283
Feigao 540L 17T (5408417L),1446.0,1.2,0.0345,283
Feigao 540L 18T (5408418L),1365.0,1.1,0.0387,283
Feigao 540L 19T (5408419L),1293.0,1.0,0.0431,283
Feigao 540L 20T (5408420L),1229.0,0.9,0.0478,283
Feigao 540L 21T (5408421L),1170.0,0.9,0.0527,283
Feigao 540L 22T (5408422L),1117.0,0.8,0.0578,283
Feigao 540L 23T (5408423L),1068.0,0.7,0.0632,283
Feigao 540L 24T (5408424L),1024.0,0.7,0.0688,283
Feigao 540L 25T (5408425L),983.0,0.5,0.0747,283
Feigao 540L 26T (5408426L),945.0,0.5,0.0807,283
Feigao 540L 27T (5408427L),910.0,0.5,0.0871,283
Feigao 540L 28T (5408428L),878.0,0.5,0.0936,283
Feigao 540L 29T (5408429L),847.0,0.5,0.1005,283
Feigao 540L 30T (5408430L),819.0,0.5,0.1075,283
Feigao 540L 31T (5408431L),793.0,0.5,0.1148,283
Feigao 540L 32T (5408432L),768.0,0.5,0.1223,283
Feigao 540L 33T (5408433L),745.0,0.5,0.1301,283
Feigao 540L 34T (5408434L),723.0,0.5,0.1381,283
Feigao 540L 6T (5408406L),4096.0,5.8,0.0043,283
Feigao 540L 7T (5408407L),3511.0,5.0,0.0059,283
Feigao 540L 8T (5408408L),3072.0,4.1,0.0076,283
Feigao 540L 9T (5408409L),2731.0,3.3,0.0097,283
Feigao 540S 10T (5408410S),3549.0,3.5,0.0094,226
Feigao 540S 11T (5408411S),3226.0,2.2,0.0114,226
Feigao 540S 12T (5408412S),2958.0,2.1,0.0136,226
Feigao 540S 13T (5408413S),2730.0,2.0,0.016,226
Feigao 540S 14T (5408414S),2535.0,1.7,0.0185,226
Feigao 540S 15T (5408415S),2366.0,1.5,0.0213,226
Feigao 540S 16T (5408416S),2218.0,1.5,0.0242,226
Feigao 540S 17T (5408417S),2088.0,1.3,0.0273,226
Feigao 540S 18T (5408418S),1972.0,1.2,0.0306,226
Feigao 540S 19T (5408419S),1868.0,1.1,0.0341,226
Feigao 540S 20T (5408420S),1775.0,1.0,0.0378,226
Feigao 540S 21T (5408421S),1690.0,0.8,0.0417,226
Feigao 540S 22T (5408422S),1613.0,0.8,0.0457,226
Feigao 540S 23T (5408423S),1543.0,0.7,0.05,226
Feigao 540S 24T (5408424S),1479.0,0.7,0.0544,226
Feigao 540S 25T (5408425S),1420.0,0.7,0.059,226
Feigao 540S 26T (5408426S),1365.0,0.6,0.0638,226
Feigao 540S 27T (5408427S),1314.0,0.5,0.0689,226
Feigao 540S 28T (5408428S),1268.0,0.5,0.074,226
Feigao 540S 29T (5408429S),1224.0,0.5,0.0794,226
Feigao 540S 30T (5408430S),1183.0,0.5,0.085,226
Feigao 540S 31T (5408431S),1152.0,0.5,0.0908,226
Feigao 540S 32T (5408432S),1116.0,0.5,0.0967,226
Feigao 540S 33T (5408433S),1082.0,0.5,0.1029,226
Feigao 540S 34T (5408434S),1050.0,0.5,0.1092,226
Feigao 540S 6T (5408406S),5915.0,6.8,0.0034,226
Feigao 540S 7T (5408407S),5070.0,6.0,0.0046,226
Feigao 540S 8T (5408408S),4436.0,5.5,0.006,226
Feigao 540S 9T (5408409S),3943.0,3.6,0.0077,226
Feigao 540XL 10T (5408410XL),1668.0,2.3,0.0114,372
Feigao 540XL 11T (5408411XL),1516.0,1.9,0.0138,372
Feigao 540XL 12T (5408412XL),1390.0,1.7,0.0164,372
Feigao 540XL 13T (5408413XL),1283.0,1.6,0.0192,372
Feigao 540XL 14T (5408414XL),1191.0,1.2,0.0223,372
Feigao 540XL 15T (5408415XL),1112.0,1.0,0.0256,372
Feigao 540XL 16T (5408416XL),1042.0,0.9,0.0292,372
Feigao 540XL 17T (5408417XL),981.0,0.8,0.0329,372
Feigao 540XL 18T (5408418XL),926.0,0.7,0.0369,372
Feigao 540XL 19T (5408419XL),878.0,0.7,0.0411,372
Feigao 540XL 20T (5408420XL),834.0,0.7,0.0456,372
Feigao 540XL 21T (5408421XL),794.0,0.6,0.0502,372
Feigao 540XL 22T (5408422XL),758.0,0.6,0.0551,372
Feigao 540XL 23T (5408423XL),725.0,0.5,0.0602,372
Feigao 540XL 24T (5408424XL),695.0,0.5,0.0656,372
Feigao 540XL 25T (5408425XL),667.0,0.4,0.0712,372
Feigao 540XL 26T (5408426XL),641.0,0.4,0.077,372
Feigao 540XL 27T (5408427XL),618.0,0.4,0.083,372
Feigao 540XL 28T (5408428XL),596.0,0.4,0.0893,372
Feigao 540XL 29T (5408429XL),575.0,0.4,0.0958,372
Feigao 540XL 30T (5408430XL),556.0,0.4,0.1025,372
Feigao 540XL 31T (5408431XL),538.0,0.4,0.1094,372
Feigao 540XL 32T (5408432XL),521.0,0.4,0.1166,372
Feigao 540XL 33T (5408433XL),505.0,0.4,0.124,372
Feigao 540XL 34T (5408434XL),490.0,0.4,0.1317,372
Feigao 540XL 6T (5408406XL),2779.0,5.2,0.0041,372
Feigao 540XL 7T (5408407XL),2382.0,4.5,0.0056,372
Feigao 540XL 8T (5408408XL),2084.0,3.6,0.0073,372
Feigao 540XL 9T (5408409XL),1853.0,2.5,0.0092,372
Fine Mfg. Cordite 19.2V KR-10 Fan 40T,1349.0,1.52,0.101,0
Fine Mfg. Cordite 19.2V KR-7 Fan 30T,1733.0,1.98,0.057,0
Fine Mfg. Cordite 19.2V KR-8 Fan 30T,1756.0,1.88,0.057,0
Fine Mfg. Cordite 19.2V KR-9 Fan 40T,1727.0,1.03,0.101,0
Flyware LRK 350/10-ARF-10.5W 10-pole,2627.0,1.355,0.025,120
Flyware LRK 350/25-12.5W 14-pole,694.0,2.0,0.0577,230
Flyware MAX 650-6,920.0,1.939,0.076,0
Flyware MAX 650-Heli 12,2057.0,1.869,0.08,0
GWS CN08-PLUS,6517.0,0.065,11.392,4
GWS CN10-PLUS,4302.0,0.05,10.976,6
GWS CN12-B2C,5731.0,0.12,3.041,6
GWS CN12-R-LC,4449.0,0.34,0.541,16
GWS CN12-R-XC,3691.0,0.28,1.04,16
GWS EM100,2434.0,0.36,0.686,40
GWS EM150,3638.0,0.48,0.342,40
GWS EM300,5040.0,1.6,0.283,46
GWS EM300H,3310.0,0.75,0.356,46
